# Batch PR-2026-11 | File Ref BRAC-BEFTN-20261130-PB-202611-1788339665288 | Payment date 2026-11-30 | 55 employee(s) | Total BDT 1420248.00
Employee Code,Employee Name,Department,Bank Name,Account Number,Routing Number,Net Amount (BDT)
EMP-1001,Nasrin Akter,—,,,,0.00
EMP-1002,Rakib Hasan,—,,,,0.00
EMP-1003,Shahidul Islam,—,,,,0.00
EMP-1004,Tanvir Ahmed,—,,,,567.00
EMP-1006,Jahangir Alam,—,,,,1590.00
EMP-1007,Farhana Islam,—,,,,0.00
EMP-1008,Kamrul Hasan,—,,,,0.00
EMP-1009,Ruma Begum,—,,,,0.00
DEMO-EMPLOYEE,Tanvir Ahmed Topu,—,,,,0.00
EMP-2001,Mahfuz Islam,—,BRAC Bank,1000000000001,060000001,70500.00
EMP-2002,Shirin Rahman,—,Dutch-Bangla Bank,1000000000002,060000002,70500.00
EMP-2003,Kamal Hossain,—,Islami Bank Bangladesh Ltd.,1000000000003,060000003,51033.00
EMP-2004,Rokeya Ahmed,—,City Bank,1000000000004,060000004,51033.00
EMP-2005,Anwar Chowdhury,—,,,,51033.00
EMP-2006,Nasreen Uddin,—,BRAC Bank,1000000000006,060000006,68300.00
EMP-2007,Faruk Akter,—,Dutch-Bangla Bank,1000000000007,060000007,45967.00
EMP-2008,Rupa Sarker,—,Islami Bank Bangladesh Ltd.,1000000000008,060000008,40667.00
EMP-2009,Nazrul Molla,—,City Bank,1000000000009,060000009,39200.00
EMP-2010,Jasmin Talukder,—,,,,40200.00
EMP-2011,Mostafa Miah,—,BRAC Bank,1000000000011,060000011,56200.00
EMP-2012,Shathi Sikder,—,Dutch-Bangla Bank,1000000000012,060000012,44200.00
EMP-2013,Rafiq Kabir,—,Islami Bank Bangladesh Ltd.,1000000000013,060000013,30183.00
EMP-2014,Lipi Alam,—,City Bank,1000000000014,060000014,32650.00
EMP-2017,Selim Bhuiyan,—,Dutch-Bangla Bank,1000000000017,060000017,40650.00
EMP-2018,Munni Mridha,—,Islami Bank Bangladesh Ltd.,1000000000018,060000018,40650.00
EMP-2019,Golam Barua,—,City Bank,1000000000019,060000019,35150.00
EMP-2020,Shahnaz Khatun,—,,,,35150.00
EMP-2021,Shafiq Islam,—,BRAC Bank,1000000000021,060000021,35150.00
EMP-2022,Halima Rahman,—,Dutch-Bangla Bank,1000000000022,060000022,32650.00
EMP-2023,Nurul Hossain,—,Islami Bank Bangladesh Ltd.,1000000000023,060000023,24200.00
EMP-2024,Rokshana Ahmed,—,City Bank,1000000000024,060000024,21200.00
EMP-2025,Sohel Chowdhury,—,,,,19200.00
EMP-2026,Rehana Uddin,—,BRAC Bank,1000000000026,060000026,27200.00
EMP-2027,Rezaul Akter,—,Dutch-Bangla Bank,1000000000027,060000027,24200.00
EMP-2028,Mahmuda Sarker,—,Islami Bank Bangladesh Ltd.,1000000000028,060000028,24200.00
EMP-2029,Jasim Molla,—,City Bank,1000000000029,060000029,24200.00
EMP-2030,Salma Talukder,—,,,,24200.00
EMP-2031,Delwar Miah,—,BRAC Bank,1000000000031,060000031,20450.00
EMP-2032,Farida Sikder,—,Dutch-Bangla Bank,1000000000032,060000032,20375.00
EMP-2033,Shamim Kabir,—,Islami Bank Bangladesh Ltd.,1000000000033,060000033,19200.00
EMP-2034,Sultana Alam,—,City Bank,1000000000034,060000034,16100.00
EMP-2035,Iqbal Haque,—,,,,15100.00
EMP-2036,Rina Khan,—,BRAC Bank,1000000000036,060000036,21600.00
EMP-2037,Aminul Bhuiyan,—,Dutch-Bangla Bank,1000000000037,060000037,18600.00
EMP-2038,Marium Mridha,—,Islami Bank Bangladesh Ltd.,1000000000038,060000038,18600.00
EMP-2039,Zahid Barua,—,City Bank,1000000000039,060000039,18600.00
EMP-2040,Nazma Khatun,—,,,,18600.00
EMP-2041,Habib Islam,—,BRAC Bank,1000000000041,060000041,18600.00
EMP-2042,Ruma Rahman,—,Dutch-Bangla Bank,1000000000042,060000042,18600.00
EMP-2043,Yasin Hossain,—,Islami Bank Bangladesh Ltd.,1000000000043,060000043,12500.00
EMP-2044,Poly Ahmed,—,City Bank,1000000000044,060000044,12500.00
EMP-2046,Momtaz Uddin,—,BRAC Bank,1000000000046,060000046,18500.00
EMP-2047,Emran Akter,—,Dutch-Bangla Bank,1000000000047,060000047,18500.00
EMP-2048,Anju Sarker,—,Islami Bank Bangladesh Ltd.,1000000000048,060000048,16000.00
EMP-2049,Rashed Molla,—,City Bank,1000000000049,060000049,16000.00
